Fuel Type Code,Station Name,Street Address,Intersection Directions,City,State,ZIP,Plus4,Station Phone,Status Code,Expected Date,Groups With Access Code,Access Days Time,Cards Accepted,BD Blends,NG Fill Type Code,NG PSI,EV Level1 EVSE Num,EV Level2 EVSE Num,EV DC Fast Count,EV Other Info,EV Network,EV Network Web,Geocode Status,Latitude,Longitude,Date Last Confirmed,ID,Updated At,Owner Type Code,Federal Agency ID,Federal Agency Name,Open Date,Hydrogen Status Link,NG Vehicle Class,LPG Primary,E85 Blender Pump,EV Connector Types,Country,Intersection Directions (French),Access Days Time (French),BD Blends (French),Groups With Access Code (French),Hydrogen is Retail,Access Code,Access Detail Code,Federal Agency Code,Facility Type,CNG Dispenser Num,CNG On-Site Renewable Source,CNG Total Compression Capacity,CNG Storage Capacity,LNG On-Site Renewable Source,E85 Other Ethanol Blends,EV Pricing,EV Pricing (French),LPG Nozzle Types,Hydrogen Pressures,Hydrogen Standards,CNG Fill Type Code,CNG PSI,CNG Vehicle Class,LNG Vehicle Class,EV On-Site Renewable Source,Georeference
LPG,Irish Propane,70 Katherine St,At Bailey and Clinton,Buffalo,NY,14210,,716-852-3335,E,,Public,8am-4:45pm M-F,A Cash D M V,,,,,,,,,,GPS,42.860108,-78.859226,04/06/2023,13444,2023-04-06 17:17:01,P,,,07/08/1999,,,True,,,US,,,,Public,,public,,,FUEL_RESELLER,,,,,,,,,ACME,,,,,,,,POINT (-78.85922572883605 42.8601082048398)
ELEC,William Henry Miller Inn - Tesla Destination,303 N Aurora St,,Ithaca,NY,14850,,607-256-4553  877-798-3752,E,,Public,,,,,,,1,,,Tesla Destination,https://www.tesla.com/destination-charging,200-9,42.441678,-76.495340,10/06/2022,114959,2023-01-18 15:15:20,P,,,03/08/2016,,,,,TESLA,US,,,,Public,,public,,,INN,,,,,,,Free,,,,,,,,,,POINT (-76.49534 42.441678)
ELEC,Hampton Inn Oneonta - Tesla Destination,225 River St,,Oneonta,NY,13820,,607-433-9000  877-798-3752,E,,Public,,,,,,,2,,,Tesla Destination,https://www.tesla.com/destination-charging,200-8,42.443688,-75.086930,10/06/2022,115205,2023-01-18 15:15:20,P,,,08/08/2017,,,,,TESLA,US,,,,Public,,public,,,HOTEL,,,,,,,Free,,,,,,,,,,POINT (-75.0869297 42.443688)
E85,Valero,192 E Sunrise Hwy,,Valley Stream,NY,11580,,516-341-0453,E,,Public,5am-11pm daily,A Cash D Debit M V,,,,,,,,,,200-8,40.657693,-73.691288,04/06/2023,147610,2023-04-06 17:17:01,P,,,11/08/2019,,,,False,,US,,,,Public,,public,,,CONVENIENCE_STORE,,,,,,,,,,,,,,,,,POINT (-73.691288 40.657693)
ELEC,MOHAWK CHEVY MOHAWKCHEVY1,639 67,,Malta,NY,12020,,888-758-4389,E,,Public,24 hours daily,,,,,,2,,,ChargePoint Network,http://www.chargepoint.com/,GPS,42.968932,-73.811108,05/13/2023,217435,2023-05-13 00:31:26,,,,05/13/2022,,,,,J1772,US,,,,Public,,public,,,,,,,,,,,,,,,,,,,,POINT (-73.811108 42.968932)
ELEC,Town of Andes,242 Main street,,Andes,NY,13731,,866-816-7584,E,,Public,,,,,,,2,,,EV Connect,http://evconnect.com/,GPS,42.190573,-74.781639,05/13/2023,230818,2023-05-13 01:26:32,,,,09/30/2022,,,,,J1772,US,,,,Public,,public,,,,,,,,,,,,,,,,,,,,POINT (-74.781639 42.190573)
ELEC,MILLER MOTORS EAST R DK,4445 NY-434,,Vestal,NY,13850,,888-758-4389,E,,Public,24 hours daily,,,,,,,1,,ChargePoint Network,http://www.chargepoint.com/,GPS,42.095566,-75.965260,05/13/2023,252597,2023-05-13 00:35:32,,,,01/27/2023,,,,,CHADEMO J1772COMBO,US,,,,Public,,public,,,,,,,,,,,,,,,,,,,,POINT (-75.96526 42.095566)
ELEC,22 Russel St.,22 Russell St,,White Plains,NY,10606,,888-356-8911,E,,Public,24 hours daily,,,,,,4,,,FLO,https://flo.ca/,GPS,41.037140,-73.781060,05/13/2023,257807,2023-05-13 01:05:55,,,,04/01/2023,,,,,J1772,US,,,,Public,,public,,,,,,,,,,,,,,,,,,,,POINT (-73.78106 41.03714)
ELEC,WATERVLIET DOME 3,1300 2nd Ave,,Watervliet,NY,12189,,888-758-4389,E,,Public,24 hours daily,,,,,,2,,,ChargePoint Network,http://www.chargepoint.com/,GPS,42.724022,-73.702739,05/13/2023,195911,2023-05-13 00:28:14,,,,09/15/2021,,,,,J1772,US,,,,Public,,public,,,,,,,,,,,,,,,,,,,,POINT (-73.702739 42.724022)
ELEC,Queens Center - Tesla Supercharger,90-15 Queens Boulevard,,Queens,NY,11373,,877-798-3752,E,,Public,24 hours daily; for Tesla use only,,,,,,,10,,Tesla,https://www.tesla.com/supercharger,GPS,40.735082,-73.870670,10/03/2022,116809,2022-12-01 17:40:26,P,,,12/01/2018,,,,,TESLA,US,,,,Public,,public,,,SHOPPING_CENTER,,,,,,,$0.28 per kWh; $0.26 per minute above 60 kW and $0.13 per minute at or below 60 kW,,,,,,,,,,POINT (-73.87067 40.735082)
ELEC,WARRENCOUNTY DPW 3,1348 U.S. 9,,Lake George,NY,12845,,888-758-4389,E,,Public,24 hours daily,,,,,,2,,,ChargePoint Network,http://www.chargepoint.com/,GPS,43.359019,-73.701171,05/13/2023,150257,2023-05-13 00:19:18,,,,12/17/2019,,,,,J1772,US,,,,Public,,public,,,,,,,,,,,,,,,,,,,,POINT (-73.701171 43.359019)
ELEC,Nissan of Westbury,939 Old Country Rd,,Westbury,NY,11590,,516-338-5600,E,,Public - Call ahead,Dealership business hours,,,,,,1,1,,Non-Networked,,200-8,40.753954,-73.561974,06/09/2020,44212,2023-02-15 22:45:41,P,,,11/30/2011,,,,,CHADEMO J1772,US,,,,Public - Appeler à l'avance,,public,CALL,,CAR_DEALER,,,,,,,Free,,,,,,,,,,POINT (-73.561974 40.753954)
ELEC,Bliss Construction,6770 Main Street,,Williamsville,NY,14221,,888-998-2546,E,,Public,,,,,,,3,,,Blink Network,http://www.blinkcharging.com/,GPS,42.965953,-78.700983,05/12/2023,197546,2023-05-12 23:58:30,,,,10/08/2021,,,,,J1772,US,,,,Public,,public,,,,,,,,,,Free,,,,,,,,,,POINT (-78.700983 42.965953)
ELEC,EV Connect PO 1322 - Apex Solar-South Hill Campus,64 Main St.,,Queensbury,NY,12804,,866-816-7584,E,,Public,,,,,,,1,,,EV Connect,http://evconnect.com/,GPS,43.299649,-73.669533,05/13/2023,230828,2023-05-13 01:26:34,,,,09/30/2022,,,,,J1772,US,,,,Public,,public,,,,,,,,,,,,,,,,,,,,POINT (-73.669533 43.299649)
ELEC,Tribeca Green,325 North End Ave,,New York,NY,10282,,888-998-2546,E,,Public,,,,,,,2,,,Blink Network,http://www.blinkcharging.com/,GPS,40.716950,-74.014948,05/12/2023,164713,2023-05-12 23:59:37,,,,08/01/2020,,,,,J1772,US,,,,Public,,public,,,,,,,,,,Free,,,,,,,,,,POINT (-74.014948 40.71695)
ELEC,TOWN OF BABYLON TOWN ANNEX 1,281 Phelps Ln,,North Babylon,NY,11703,,888-758-4389,E,,Public,24 hours daily,,,,,,1,,,ChargePoint Network,http://www.chargepoint.com/,GPS,40.728081,-73.330953,05/13/2023,180133,2023-05-13 00:11:09,,,,01/27/2021,,,,,J1772,US,,,,Public,,public,,,,,,,,,,,,,,,,,,,,POINT (-73.330953 40.728081)
